0atoms 07989
 start to output on step
 alpha = 50
156,-1.73068,8.62354,61.901
157,-1.53213,8.4244,63.9945
158,-1.35444,8.35942,68.588
159,-1.31954,8.77174,71.9511
160,-1.19213,10.8611,63.6284
161,-1.08792,11.2067,84.1646
162,-1.03958,11.7451,103.37
163,-0.996072,12.0551,106.818
164,-0.981305,13.9873,114.671
165,-0.993831,12.5994,77.2478
166,-1.01455,12.1619,76.0374
167,-1.08395,13.0596,67.4934
168,-1.105,13.5873,65.1675
169,-1.12696,13.2253,77.7582
170,-1.26704,11.1943,73.8886
171,-1.26205,11.1922,75.6731
172,-1.27146,10.8397,82.7759
173,-1.18586,10.5716,71.8361
174,-1.18276,10.7884,75.7512
175,-1.14118,10.8236,78.0522
176,-1.18481,11.2024,84.5899
177,-1.18643,11.6259,80.1932
178,-1.17709,11.7547,95.218
179,-1.1264,11.0637,84.4434
180,-1.24709,8.7213,113.527
181,-1.1699,8.00529,95.4662
182,-1.15485,8.85548,121.537
183,-1.07704,8.15611,106.685
184,-1.00632,7.70665,99.9836
185,-0.934255,6.77615,83.4581
186,-0.863418,6.25418,82.1369
187,-0.954952,5.52329,70.7455
188,-0.893565,4.77265,61.2661
189,-0.738093,4.42447,56.9935
190,-1.67613,8.34779,67.6204
191,-1.88247,6.22045,65.3803
192,-2.09054,5.68187,58.8422
193,-2.29499,5.30233,59.5506
194,-2.49365,5.02923,60.5877
195,-2.67833,5.76151,64.0465
196,-2.84678,6.30325,71.6406
197,-2.9499,5.40369,68.83
198,-3.07544,5.30739,73.129
199,-3.17865,6.63882,92.9863
200,-3.66885,8.39329,102.755
201,-3.73873,9.40084,104.473
202,-3.79295,9.92947,110.817
203,-3.83901,11.3711,114.269
204,-3.92787,13.97,123.849
205,-3.93796,16.3921,140.981
206,-3.29359,18.0563,144.826
207,-3.32838,19.2039,154.824
208,-2.98299,20.9748,181.646
209,-3.05706,19.9048,181.285
210,-3.22348,12.0719,136.173
211,-3.36151,11.2583,131.627
212,-3.42112,10.4701,119.304
213,-3.48116,9.91747,105.85
214,-3.54173,9.01316,90.7376
215,-4.5677,8.75064,82.2993
216,-3.66789,8.55734,75.9799
217,-3.73516,9.1324,70.6749
218,-3.78765,10.1562,74.7239
219,-3.86501,11.1825,74.0024
220,-4.08051,10.8256,75.5552
221,-4.15452,11.1369,84.3987
222,-4.22963,11.5542,94.0713
223,-4.30678,10.9288,99.3334
224,-4.38302,11.0228,97.6939
225,-4.45461,9.96491,97.8712
226,-4.51857,9.41182,95.3303
227,-4.57229,9.79908,113.858
228,-4.61135,9.44841,113.598
229,-4.63277,9.28342,107.463
230,-4.16568,6.74159,100.102
231,-4.13732,2.46719,57.671
232,-4.19238,2.22624,53.9065
233,-3.58862,2.17157,52.9115
234,-3.47271,2.2216,50.287
235,-3.34386,1.69989,41.41
236,-3.23899,1.38684,32.0423
237,-3.14263,1.21743,26.3749
238,-2.98844,1.13214,27.2133
239,-2.64202,0.888383,19.7578
240,-2.37941,0.740782,16.7574
241,-2.23134,0.745907,12.3357
242,-2.11934,0.674356,9.49556
243,-2.00585,0.669436,10.8541
244,-1.89087,0.430449,3.53503
245,-1.77598,0.614729,9.58
246,-2.11323,1.43503,32.3388
247,-2.03846,2.24036,36.0946
